epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8572,1.37049,4.06048,1.05602,0.00423,0.66288,0.01815,0.00835,1.1103,3.6745,0.83278,4.287e-05,4.287e-05,4.287e-05
2,44.8537,1.23026,3.73074,0.97713,0.00632,1,0.22303,0.13693,1.16288,3.52074,0.81713,9.80494e-05,9.80494e-05,9.80494e-05
3,66.8469,1.18022,2.82154,0.97413,0.0063,1,0.52679,0.33746,0.99497,3.38278,0.78431,0.000150965,0.000150965,0.000150965
4,89.1356,1.0992,2.15512,0.96391,0.00647,1,0.56011,0.34883,1.04226,3.36513,0.77837,0.000201618,0.000201618,0.000201618
5,111.818,1.01735,1.71038,0.96223,0.00657,1,0.56336,0.34158,0.99066,3.37722,0.76165,0.000250006,0.000250006,0.000250006
6,134.602,1.03827,1.57143,0.95865,0.00674,1,0.54588,0.33688,0.96249,3.34573,0.77705,0.000296132,0.000296132,0.000296132
7,157.515,1.05474,1.42638,0.97592,0.00695,1,0.45171,0.28015,1.04729,3.33945,0.80073,0.000339993,0.000339993,0.000339993
8,180.483,0.99385,1.30089,0.9535,0.00715,1,0.27987,0.17193,1.06369,3.38961,0.82087,0.000381592,0.000381592,0.000381592
9,203.447,1.05223,1.28967,0.97365,0.00767,1,0.06063,0.04078,1.00752,3.38147,0.82612,0.000420926,0.000420926,0.000420926
10,226.312,0.98725,1.24885,0.94875,0.00721,1,0.01477,0.00862,0.99666,3.33366,0.80821,0.000457997,0.000457997,0.000457997
11,249.467,0.92152,1.08141,0.95033,0.00743,1,0.05794,0.03277,1.01821,3.25785,0.81719,0.000492805,0.000492805,0.000492805
12,272.867,0.94435,1.08477,0.95495,0.00739,1,0.30538,0.17544,1.03717,3.27656,0.82166,0.000525349,0.000525349,0.000525349
13,296.52,0.99666,1.16328,0.96365,0.00731,1,0.79641,0.54194,1.00785,3.07545,0.81231,0.000555629,0.000555629,0.000555629
14,319.647,0.97783,1.09457,0.94738,0.00692,1,0.95001,0.64194,1.00464,3.03487,0.81597,0.000583646,0.000583646,0.000583646
15,342.856,0.9535,1.12194,0.96548,0.00642,1,0.90898,0.64042,0.95684,2.96301,0.79754,0.0006094,0.0006094,0.0006094
16,365.923,0.98805,1.04462,0.9488,0.00639,1,0.97934,0.67404,0.98657,2.74761,0.82832,0.00063289,0.00063289,0.00063289
17,389.004,0.9754,1.06743,0.97885,0.95676,0.9685,0.98688,0.68054,1.00777,2.57763,0.85167,0.000654116,0.000654116,0.000654116
18,412.2,0.97702,0.99345,0.94869,0.00629,1,0.995,0.6841,1.02188,2.52021,0.86969,0.000673079,0.000673079,0.000673079
19,435.281,1.02272,1.00065,0.96572,0.36712,1,0.995,0.70134,1.03452,2.39835,0.87577,0.000689778,0.000689778,0.000689778
20,458.424,0.97269,0.92581,0.96935,1,0.66952,0.995,0.69483,1.0448,2.19749,0.90168,0.000704214,0.000704214,0.000704214
21,481.57,1.00729,0.93834,0.95787,1,0.91445,0.995,0.6835,1.01256,1.8981,0.90506,0.000716386,0.000716386,0.000716386
22,504.635,0.90908,0.90469,0.94667,1,0.82119,0.995,0.68071,1.01926,1.88171,0.92761,0.000726295,0.000726295,0.000726295
23,527.767,0.96982,0.95206,0.95684,1,0.84967,0.995,0.68725,0.99962,1.78916,0.90029,0.00073394,0.00073394,0.00073394
24,550.908,0.93545,0.94495,0.95802,0.98568,0.93891,0.995,0.70801,0.98938,1.59698,0.87995,0.000739322,0.000739322,0.000739322
25,574.125,0.92025,0.88597,0.92661,0.97231,0.99231,0.995,0.70245,0.98598,1.50134,0.87657,0.00074244,0.00074244,0.00074244
26,600.081,0.94956,0.96869,0.97356,0.969,0.99364,0.995,0.70107,0.97553,1.4925,0.88426,0.000721645,0.000721645,0.000721645
27,626.171,0.93015,0.8955,0.94702,0.96761,0.88426,0.995,0.70566,0.99422,1.42856,0.92568,0.000693351,0.000693351,0.000693351
28,649.398,0.95069,0.91044,0.96733,0.96878,0.96927,0.995,0.69302,1.02542,1.35752,0.96165,0.000665057,0.000665057,0.000665057
29,672.534,0.90423,0.85734,0.95656,0.97324,0.99884,0.995,0.70981,0.9959,1.19332,0.94204,0.000636762,0.000636762,0.000636762
30,695.654,0.90761,0.85385,0.95661,0.98257,0.996,0.995,0.70894,1.00703,1.022,0.93937,0.000608468,0.000608468,0.000608468
31,718.778,0.8931,0.79372,0.95077,0.98775,0.99462,0.995,0.70484,1.01709,0.94442,0.94575,0.000580174,0.000580174,0.000580174
32,741.928,0.90486,0.81332,0.94445,0.96431,0.99627,0.995,0.69586,1.01175,0.97327,0.93613,0.00055188,0.00055188,0.00055188
33,764.992,0.933,0.82283,0.95366,0.95814,0.99584,0.995,0.71423,1.00605,0.94615,0.92575,0.000523586,0.000523586,0.000523586
34,788.045,0.88875,0.81419,0.94073,0.96489,0.99814,0.995,0.7081,0.98897,0.87131,0.91586,0.000495291,0.000495291,0.000495291
35,821.7,0.86426,0.75592,0.91758,0.97771,0.99482,0.995,0.71063,0.96499,0.83063,0.91261,0.000466997,0.000466997,0.000466997
36,858.698,0.85387,0.75643,0.92623,0.9881,0.98979,0.995,0.70431,0.95845,0.81154,0.91337,0.000438703,0.000438703,0.000438703
37,894.144,0.89895,0.76605,0.93005,0.99049,0.99055,0.995,0.71223,0.96178,0.79941,0.91957,0.000410409,0.000410409,0.000410409
38,932.915,0.826,0.71785,0.92437,0.9818,0.99456,0.995,0.71284,0.96267,0.76502,0.933,0.000382115,0.000382115,0.000382115
39,964.477,0.86119,0.75017,0.92904,0.97624,0.99795,0.995,0.72101,0.94911,0.74097,0.9323,0.00035382,0.00035382,0.00035382
40,1001.93,0.86228,0.75465,0.93179,0.97595,0.99799,0.995,0.72793,0.93671,0.7097,0.92527,0.000325526,0.000325526,0.000325526
41,1031.43,0.86148,1.11644,0.95688,0.97642,0.99798,0.995,0.71868,0.93901,0.74633,0.92047,0.000297232,0.000297232,0.000297232
42,1062.58,0.85391,1.07317,0.95545,0.97661,0.99521,0.995,0.71961,0.95603,0.88546,0.92778,0.000268938,0.000268938,0.000268938
43,1093.5,0.9325,1.16621,1.00465,0.97965,0.99545,0.995,0.72235,0.9567,0.96872,0.93426,0.000240644,0.000240644,0.000240644
44,1124.51,0.87786,1.28601,0.92786,0.98326,0.99627,0.995,0.71943,0.95149,0.93929,0.93455,0.000212349,0.000212349,0.000212349
45,1148.13,0.85386,1.11683,0.94581,0.98973,0.99633,0.995,0.70904,0.94146,0.83324,0.92896,0.000184055,0.000184055,0.000184055
46,1171.1,0.82299,1.07279,0.90518,0.99116,0.99547,0.995,0.71413,0.93607,0.74455,0.92378,0.000155761,0.000155761,0.000155761
47,1194.03,0.82741,0.99384,0.94328,0.99126,0.99346,0.995,0.72285,0.93725,0.71509,0.92444,0.000127467,0.000127467,0.000127467
48,1219.62,0.86862,1.03079,0.95015,0.99123,0.99153,0.995,0.71631,0.93779,0.71028,0.92573,9.91726e-05,9.91726e-05,9.91726e-05
49,1243.79,0.82841,0.99013,0.9548,0.99147,0.99005,0.995,0.7217,0.93809,0.71156,0.92685,7.08784e-05,7.08784e-05,7.08784e-05
50,1266.75,0.81108,0.95311,0.92246,0.99198,0.98892,0.995,0.72761,0.93868,0.71299,0.92743,4.25842e-05,4.25842e-05,4.25842e-05
